[Canned/Konserver]
{en,sv}
tuna,tonfisk
chopped tomato,krossade tomater
passerade tomater
finkrossade tomater
olives,oliver
sun dried tomatoes,soltorkade tomater
sundried tomatoes,soltorkade tomater
kalamata
