[Spices & Herbs / Kryddor & Örter]
{en,sv}
herbs,örter
anise,anis
basil,basilika
caraway,kummin
coriander,koriander
chamomile,kamomill
marjoram,mejram
oregano,oregano
parsley,persilja
rosemary,rosmarie
sage,salvia
thyme,timjan
salt
fisksås
chili,
sriracha,
ketchup
soja
soy
black peppar,svartpeppar
white peppar,vitpeppar
dill
