[Meat/Kött]
{english,swedish}
minced meat, köttfärs
minced beef, nötfärs
minced pork, fläskfärs
miced mince, blandfärs
chicken, kyckling
pork, fläsk
ham, skinka
sausage, korv
bacon


