[Spreads & Coffee/Marmelad, sylt & kaffe, te]
{en,sv}
jam, sylt
marmelade, marmelad
peanut butter,jordnötssmör
honey, honung
coffee, kaffe
tea, te
cocoa, cacao
vanilla sugar, vaniljsocker
maple syrup, lönnsirap
freeze dried coffee, frystorkat kaffe
instant coffee, snabbkaffe
coffee powder, kaffepulver
raspberry jam, hallonsylt
jordgubbssylt
bluberry jam, blåbärssylt
jordgubbsmarmelad
hallonmarmelad

