[Beans & lentils/Bönor & linser]
{en,sv}
azuki beans
adzuki
bean sprouts,böngroddar
black beans,svarta bönor
black-eyed peas
borlotti bean
broad beans
chickpeas,kikärtor
garbanzos
ceci beans
kidney beans
lentils,linser
lima beans
butter bean
mung beans
navy beans
peanuts,jordnötter
pinto beans
runner beans
split peas
soy beans,soyabönor
hazelnuts, hasselnötter
almonds, mandlar
almond, mandel
nuts, nötter
cashewnuts,cashewnötter
cashew,cashew
pumpkin seeds, pumpafrön
seeds, frön
