[Fruits/Frukt]
{en,sv}
Abiu
Açaí,Acai
Ackee,Blighia sapida
Apple,Äpple
Apricot,aprikos
Avocado,avokado
Banana,banan
Bilberry,Blåbär
Blackberry,björnbär
Blackcurrant,svart vinbär
Black sapote
Blueberry,blåbär
Boysenberry,Boysenbär
Breadfruit,Brödfrukt
Buddha's hand,Buddhas hand
fingered citron,fingercitronen
Cactus pear,Kaktuspäron
Cempedak,jackfrukter
Crab apple
Currant,vinbär
Cherry,körsbär
Cherimoya,Kirimoja
Custard Apple
Chico fruit,Manilkara zapota
Cloudberry,hjortron
Coco De Mer
Coconut,kokosnöt
Cranberry,Tranbär
Damson
Date,dadlar
dadel
Dragonfruit
Pitaya,,pitaya
Durian,durian
Egg Fruit
Elderberry,Fläderbär
Feijoa
Fig,fikon
Goji berry,Gojibär
Gooseberry,Krusbär
Grewia asiatica
phalsa
falsa
Raisin,russin
Grapefruit,grapefrukt
Guava
Hala Fruit
Honeyberry
Huckleberry
Jabuticaba
Jackfruit
Jambul
Japanese plum
Jostaberry
Jujube
Juniper berry
Kiwano
horned melon
Kiwifruit,kiwi
Kumquat
Lemon,citron
Lime
Loganberry
Loquat
Longan
Lulo
Lychee
Mamey Apple
Mamey Sapote
Mango
Mangosteen
Marionberry
Melon,melon
Cantaloupe
Galia melon
Honeydew
Watermelon,vattenmelon
Miracle fruit
Monstera deliciosa
Mulberry
Nance
Nectarine,nektarin
Orange,apelsin
Blood orange,blodapelsin
Clementine,clementin
Mandarine,mandarin
Tangerine,tanger
Papaya
Passionfruit,passionsfrukt
Peach,persika
Pear,päron
Persimmon,persimon
Plantain
Plum,plommon
Prune,torkade plommon
dried plum,torkade plommon
Pineapple,ananas
Pineberry
Plumcot
Pluot
Pomegranate,granatäpple
Pomelo
Purple mangosteen
Quince
Raspberry,hallon
Salmonberry
Rambutan
Mamin Chino
Redcurrant,röda vinbär
Rose apple
Salal berry
Salak
Satsuma
Soursop
Star apple
Star fruit
Strawberry,jordgubbe
Surinam cherry
Tamarillo
Tamarind
Tangelo
Tayberry
Ugli fruit
White currant,vita vinbär
White sapote
Yuzu
