[Bread/Bröd]
{en,sv}
sausage bread, korvbröd
burger bread, hamburgerbröd
bread rolls, frallor
pain riche
pain fraiche
bread stick
bread, bröd
crisp bread, knäcke
skorpor
baguette
chiabatta
cinnemon scrolls, bullar
biscuits, kex
cookies, kakor
muffins, muffin
